WBAN,ICAO
4966,KRDK
4975,KSHL
4976,KSLB
4908,KCBF
94998,KADU
94991,KLWD
14942,KOMA
14939,KLNK
14989,KJYR
4901,KAUH
3757,KNUI
94947,KBIE
14935,KGRI
94958,KODX
94949,KHSI
14905,KEAR
94978,KTQE
94957,KFNB
14949,KOFF
4993,KAFK
94946,KBBW
94975,KANW
14941,KOFK
4924,KFET
94951,KOLU
4957,KONL
14943,KSUX
24030,KSNY
24023,KLBF
94063,KOGA
14994,KLXN
94040,KMCK
24091,KIML
4935,KHDE
24044,KAIA
24017,KCDR
24018,KCYS
24022,KLAR
3017,KDEN
24028,KBFF
94073,KIBM
24032,KVTN
94057,KDGW
24089,KCPR
24046,KCAG
94030,KVEL
94025,KHDN
3016,KRIL
24127,KSLC
24174,KPVU
24027,KRKS
24126,KOGD
24101,KHIF
24021,KLND
94053,KTOR
4111,KEVW
24166,KJAC
24156,KPIH
4109,KP69
24145,KIDA
24151,KMLD
94182,KMYL
24172,KLOL
24193,KENV
24121,KEKO
24128,KWMC
23225,KBLU
93201,KTRK
93230,KTVL
93228,KHWD
94161,KSUN
94178,KTWF
24133,KBYI
94236,KLMT
23275,KUKI
24216,KRBL
24257,KRDD
23233,KSNS
24213,KEKA
24283,KACV
24286,KCEC
24259,KSIY
24215,KMHS
94299,KAAT
24225,KMFR
24235,KSXT
94285,KLKV
24267,KBOK
14745,KCON
4743,KPSM
54791,KDAW
14764,KPWM
64709,KSFM
14606,KBGR
14615,KWVL
14616,KBHB
94601,KRKD
4836,KFVE
54771,KMVL
54740,KVSF
94765,KLEB
14755,KMWN
54728,KHIE
54742,K1V4
94705,KMPV
54736,KLCI
94700,KBML
54770,KAFN
94721,KEEN
54781,KDDH
14742,KBTV
54772,KIZG
94709,KLEW
14605,KAUG
94626,KGNR
14610,KMLT
94725,KMSS
64776,KPBG
94790,KART
94740,KSLK
94836,KSAW
94860,KGRR
94871,KBEH
94815,KAZO
384,KMGC
14840,KMKG
4883,KLDM
14826,KFNT
